赛马娘中文名,赛马娘英语名,赛马娘日语名,赛马娘生日,三围,身高(cm),声优(cv),赛马娘特殊称号(二つ名)(中文名),赛马娘特殊称号(二つ名)(日语名),赛马娘特殊称号获取条件
特别周,Special Week,スペシャルウィーク,5月2日,B81·W56·H81,158,和气杏未,日本的总大将,日本の総大将,"在人气第一的情况下以领先5马身差以上获得東京優駿(日本ダービー)的胜利,并在天皇賞(春)、天皇賞(秋)、ジャパンカップ中取胜"
无声铃鹿,Silence Suzuka,サイレンススズカ,5月1日,B70·W53·H79,161,高野麻里佳,异次元的逃亡者,異次元の逃亡者,"在人气第一的情况下使用作战逃げ在重赏赛事中取得6连胜,其中需要包括宝塚記念,并且在该赛事中从起跑200m开始一直第一位领先直到比赛结束"
东海帝王,Tokai Teio,トウカイテイオー,4月20日,B77·W54·H76,150,Machico,帝王,帝王,"继承马取得过7次以上G1赛事的胜利;在G1赛事中有4次以上是人气第一;在无败的情况下获得皐月賞、東京優駿(日本ダービー)的胜利;取得有馬記念(第三年)的胜利"
丸善斯基,Maruzensky,マルゼンスキー,5月19日,B93·W58·H88,164,Lynn,Super Car专属,スーパーカー,"无败的情况下获得8连胜,且胜利时达成平均7马身差以上"
富士奇迹,,フジキセキ,4月15日,B84·W58·H82,168,松井惠理子,华丽的三冠赛马娘,麗しの三冠ウマ娘,"出道战以8马身差以上获胜;以第一人气取得朝日杯フューチュリティステークス、皐月賞、菊花賞、東京優駿(日本ダービー)的胜利"
小栗帽,Oguri Cap,オグリキャップ,3月27日,B82·W57·H82,167,高柳知叶,偶像赛马娘,アイドルウマ娘,"取得マイルチャンピオンシップ、安田記念、有馬記念的胜利并达到24w以上粉丝"
黄金船,Gold Ship,ゴールドシップ,3月6日,B88·W55·H88,170,上田瞳,破天荒,破天荒,"在包括皐月賞、菊花賞、宝塚記念的G1赛事中取得6次以上的胜利;粉丝数达到48w以上"
伏特加,Vodka,ウオッカ,4月4日,B76·W55·H78,165,大桥彩香,打破常识的女帝,常識破りの女帝,"在包括東京優駿(日本ダービー)、安田記念、ジャパンカップ、天皇賞(秋)、ヴィクトリアマイル的G1赛事中取得7次以上胜利"
大和赤骥,Daiwa Scarlet,ダイワスカーレット,5月13日,B93·W56·H82,163,木村千咲,Miss.Perfect,ミスパーフェクト,"继承马获取过皐月賞的胜利;所有比赛都是前2名,取得包括桜花賞、秋華賞、エリザベス女王杯在内的重赏赛事(G1、G2和G3)10次胜利"
大树快车,Taiki Shuttle,タイキシャトル,3月23日,B94·W59·H90,172,大坪由佳,最强英里跑者,最強マイラー,"在包含ユニコーンステークス、安田記念的英里重赏比赛中取得5次以上胜利,其中有1次以上是雨天;并在マイルチャンピオンシップ中以5马身差以上取胜"
草上飞,Grass Wonder,グラスワンダー,2月18日,B78·W53·H84,152,前田玲奈,不死鸟,不死鳥,"以干劲"好调"以下的状态取得朝日杯フューチュリティステークス、有馬記念(第二年)、宝塚記念(第三年)、有馬記念(第三年)的胜利"
菱亚马逊,Hishi Amazon,ヒシアマゾン,3月26日,B92·W59·H89,160,巽悠衣子,女杰,女傑,"使用作战""追込""在人气第一的情况下取得重赏6连胜以上,其中2胜以上需要达成""在最终直线超越五人以上"""
目白麦昆,Mejiro McQueen,メジロマックイーン,4月3日,B71·W54·H76,159,大西沙织,名优,名優,"取得菊花賞、天皇賞(春)的胜利;基础能力"耐力"达到1200以上;粉丝数32w以上"
神鹰,El Condor Pasa,エルコンドルパサー,3月17日,B89·W58·H86,163,高桥未奈美,怪鸟,怪鳥,"全部比赛都在前二;使用作战"先行"取得ジャパンカップ(第二年)的胜利;粉丝数达到32w以上"
好歌剧,T.M. Opera O,テイエムオペラオー,3月13日,B76·W55·H80,156,德井青空,世纪末霸王,世紀末覇王,"在包含天皇賞(春)、宝塚記念、天皇賞(秋)、ジャパンカップ、有馬記念的重赏(G1、G2和G3)中取得8次以上连胜"
成田白仁,Narita Brian,ナリタブライアン,5月3日,B91·W58·H85,160,衣川里佳,不惧暗影的怪物,影をも恐れぬ怪物,"皋月赏以3又1/2马身差以上、東京優駿(日本ダービー)以5马身差以上、菊花賞以7马身差以上获得胜利,有馬記念获得两连霸(第二年和第三年均取得优胜)"
鲁道夫象征,Symboli Rudolf,シンボリルドルフ,3月13日,B86·W59·H85,165,田所梓,皇帝,皇帝,"在无败的情况下取得皐月賞、東京優駿(日本ダービー)、菊花賞的胜利;取得ジャパンカップ、天皇賞(春)的胜利;取得两次有馬記念的胜利"
气槽,Air Groove,エアグルーヴ,4月6日,B90·W57·H86,165,青木瑠璃子,女帝,女帝,"继承马取得过オークス的胜利;取得オークス、天皇賞(秋)的胜利,粉丝数达到32w以上"
爱丽数码,Agnes Digital,アグネスデジタル,5月15日,B74·W51·H75,143,铃木实里,万能宅马娘,万能オタク娘,"赢得ジャパンダートダービー、マイルチャンピオンシップ、フェブラリーステークス、安田記念、天皇賞(秋)和有馬記念(第三年)"
青云天空,Seiun Sky,セイウンスカイ,4月26日,B77·W55·H80,155,鬼头明里,诡术之星,トリックスター,"皐月賞、菊花賞、有馬記念(第二年)、天皇賞(春)使用作战'逃げ'取胜;其中菊花賞需要从起跑200m后保持第一,直到终点"
玉藻十字,Tamamo Cross,タマモクロス,5月23日,B71·W52·H73,140,大空直美,白色闪电,白い稲妻,"赢得包含天皇賞(春)、宝塚記念(第三年)和天皇賞(秋)(第三年)在内的重赏比赛8场以上;且粉丝数240,000人以上"
美妙姿势,Fine Motion,ファインモーション,1月27日,B79·W56·H83,158,桥本千波,任性的公主殿下,気ままなお姫様,"之前无败且人气第一的状态下赢得秋華賞、エリザベス女王杯和有馬記念(第二年);其中秋華賞需以3又1/2以上的马身差获胜"
琵琶晨光,Biwa Hayahide,ビワハヤヒデ,3月10日,B93·W61·H88,171,近藤唯,胜利的探索者,勝利の探究者,"全部比赛都取得前两名;取得菊花賞、天皇賞(春)、宝塚記念的胜利;完成所有育成目标"
摩耶重炮,Mayano Top Gun,マヤノトップガン,3月24日,B75·W51·H73,143,星谷美绪,千变万化,変幻自在,"使用作战逃げ、先行、差し、追込分别取得G1的胜利"
曼城茶座,Manhattan Cafe,マンハッタンカフェ,3月5日,B73·W54·H78,155,小仓唯,漆黑的幻影,漆黒の幻影,"以差行策略赢下菊花賞、天皇賞(春)、两场有馬記念;基础能力耐力达到1200以上"
美浦波旁,Mihono Bourbon,ミホノブルボン,4月25日,B86·W54·H87,160,长谷川育美,坡道奇才,坂路の申し子,"使用作战逃げ、无败且人气第一的状态下赢得朝日杯フューチュリティステークス、皐月賞、東京優駿(日本ダービー);耐力达到1200以上"
目白赖恩,Mejiro Ryan,メジロライアン	,4月11日,B87·W57·H86,163,土师亚文,华丽强者,麗しき実力者,"在有<目白>冠名的赛马娘(目白多伯、目白赖恩等)参赛的G1赛事中至少胜利一次;取得菊花賞、宝塚記念、有馬記念的胜利;粉丝数达到24w以上"
菱曙,Hishi Akebono,ヒシアケボノ,2月27日,B99·W64·H88,188,松嵜丽,超大型赛马娘,超大型ウマ娘,"赢得安田記念和マイルチャンピオンシップ;获得スプリンターズステークス二连霸(两年连冠);且力量达到1200以上"
雪之美人,Yukino Bijin,ユキノビジン,3月10日,B80·W55·H80,156,山本希望,岩手的纯朴美人,岩手の純朴美人,"赢得盛冈竞马场的重赏比赛;赢得桜花賞、オークス、秋華賞;粉丝数达到320,000以上"
米浴,Rice Shower,ライスシャワー,3月5日,B75·W51·H76,145,石见舞菜香,漆黑刺客,黒い刺客,"重赏比赛出战23次以上,其中在人气第二以上的情况下取得菊花賞 、天皇賞(春)的胜利;粉丝数达到320,000以上"
艾尼斯风神,Ines Fujin,アイネスフウジン,4月10日,B88·W58·H84,167,长江里加,风神,風神,"以""逃马""策略赢得朝日杯フューチュリティステークス、皐月賞、東京優駿(日本ダービー)和ジャパンカップ(第三年);基础能力""速度""和""根性""分别1200以上"
爱丽速子,Agnes Tachyon,アグネスタキオン,4月13日,B83·W55·H81,159,上坂堇,超光速公主,超光速のプリンセス,"继承马评级S级以上;在无败的情况下取得ホープフルステークス、弥生賞、皐月賞的胜利;基础能力"速度"达到1200以上"
爱慕织姬,Admire Vega,アドマイヤベガ,3月12日,B85·W57·H82,157,咲咲木瞳,闪耀的一等星,煌めく一等星,"在人气第一的状态下赢得皐月賞、東京優駿(日本ダービー)、宝塚記念;战胜好歌剧、成田路、名将怒涛各三次以上"
稻荷一,Inari One,イナリワン,5月7日,B85·W51·H74,139,井上遥乃,大井出身的平天下之人,大井から来た天下人,"分别在草地和泥地赢得4场以上GⅠ级比赛;其中,以""先行""策略赢得東京大賞典、宝塚記念(第三年);以""差行""或""追马""策略赢得天皇賞(春)、有馬記念"
胜利奖券,Winning Ticket,ウイニングチケット,3月21日,B88·W57·H85,157,渡部优衣,新时代的旗手,新時代の旗手,"在人气第一的情况下取得弥生賞、皐月賞、東京優駿(日本ダービー)、菊花賞的胜利;取得有馬記念(第二年)的胜利;粉丝数达到24w以上"
空中神宫,Air Shakur,エアシャカール,2月26日,B77·W56·H85,168,津田美波,跨越高墙的天才,壁を超えた天才,"赢得皐月賞、東京優駿(日本ダービー)、菊花賞;在第三年赢得天皇賞(春)、宝塚記念、天皇賞(秋)、有馬記念;基础能力""智力""1200以上"
荣进闪耀,Eishin Flash,エイシンフラッシュ,3月27日,B88·W58·H86,160,藤野彩水,锋芒一闪,閃光の切れ味,"使用作战"差し"赢得東京優駿(日本ダービー)和天皇賞(秋);并且在育成结束时拥有"切れ者"(能人)育成状态"
真机伶,Curren Chan,カレンチャン,3月31日,B83·W55·H79,155,篠原侑,闪光女孩,閃光乙女,"在包含スプリンターズステークス和高松宮記念在内的1200m短跑比赛中取得九次胜利,且粉丝数达到24w人"
川上公主,Kawakami Princess,カワカミプリンセス,6月5日,B91·W57·H87,154,高桥花林,懂事的公主,おませな姫君,"育成中父母马一方赢得过高松宮記念;保持无败且オークス、秋華賞、エリザベス女王杯夺冠"
黄金城市,Gold City,ゴールドシチー,4月16日,B85·W58·H82,158,香坂沙希,百年一遇的美少女,百年に一人の美少女,"取得阪神ジュベナイルフィリーズ的胜利;所有比赛都以干劲"绝好调"出战;在没有过"太り気味(肥胖)"、"肌あれ(皮肤粗糙)"、"なまけ癖(怠惰)"的情况下,并且所有训练设施达到LV3以上完成育成"
樱花进王,Sakura Bakushin O,サクラバクシンオー,4月14日,B83·W55·H83,158,三泽纱千香,爆进王,驀進王,"取得1400m以下赛事的胜利11次以上;在スプリンターズステークス(第三年)中以人气第一,以4马身差以上取得胜利"
采珠,Seeking the Pearl,シーキングザパール,4月16日,B91·W57·H87,168,福原绫香,珍珠的光辉,真珠の煌めき,"赢得桜花賞、NHKマイルカップ、オークス、秋華賞、高松宮記念、スプリンターズステークス(第三年)"
新光风,Shinko Windy,シンコウウインディ,4月14日,B77·W57·H88,152,高田忧希,紧咬不放的淘气马娘,噛みつきイタズラ娘,"赢得二月锦标赛,并赢下2场以上有焦躁状态的比赛,且力量数值达到1200以上"
东商变革,Sweep Tosho,スイープトウショウ,5月9日,B72·W53·H73,139,杉浦栞,任性的魔法少女,ワガママ魔法少女,"以""追马""策略赢得チューリップ賞、秋華賞;以""差行""或""追马""策略在第三年赢得宝塚記念、エリザベス女王杯、有馬記念"
超级溪流,Super Creek,スーパークリーク,5月27日,B97·W61·H91,168,优木加奈,高速Stayer,高速ステイヤー,"以5马身差以上取得菊花賞的胜利;在包含天皇賞(春)的2400m以上的重赏(G1、G2和G3)中取得6次胜利"
醒目飞鹰,Smart Falcon,スマートファルコン,4月4日,B78·W55·H80,156,大和田仁美,沙地之隼,砂のハヤブサ,"使用作战"逃げ"在包含JBCクラシック、帝王賞、東京大賞典的泥地重赏赛事(G1、G2和G3)中取得至少九次连胜"
荒漠英雄,Zenno Rob Roy,ゼンノロブロイ,3月27日,B89·W56·H78,140,照井春佳,大器之英雄,大器の英雄,"在人气第一的情况下赢得第三年的天皇賞(秋)、ジャパンカップ、有馬記念,粉丝数达到320,000人以上"
东瀛佐敦,Tosen Jordan,トーセンジョーダン,2月4日,B82·W56·H84,157,铃木绘理,不服输的女孩,負けず嫌いのギャル,"赢得ジャパンカップ、天皇賞(春);以干劲""绝好调""取得天皇賞(秋)二连胜;战胜黄金船三次以上"
中山庆典,Nakayama Festa,ナカヤマフェスタ,4月5日,B78·W54·H79,159,下地紫野,纯粹的赌徒,生粋のギャンブラー,"赢得第三年的宝塚記念、ジャパンカップ;在失败率30%以上情况下训练成功;且以没有训练失败过的状态完成育成"
成田大进,Narita Taishin,ナリタタイシン,6月10日,B69·W50·H73,145,渡部惠子,逆转的赛马娘,逆転のウマ娘,"基礎能力[根性]が1200以上になる	使用作战"追込"在皐月賞的最终直线超越四人以上取得胜利,使用作战"追込"取得天皇賞(春)胜利,基础属性"根性"在1200以上"
西野花,Nishino Flower,ニシノフラワー,4月19日,B67·W48·H70,135,河井晴菜,小小天才少女,小さな天才少女,"任一父辈马娘未赢得过GI比赛;赢得桜花賞、阪神ジュベナイルフィリーズ,スプリンターズステークス两连冠;第二年内粉丝数达到100,000以上"
春丽,Haru Urara,ハルウララ,2月27日,B74·W51·H73,140,首藤志奈,春丽加油,ハルウララがんばる,"粉丝数达到550,000以上"
青竹回忆,Bamboo Memory,バンブーメモリー,5月14日,B77·W57·H81,157,蓝原琴美,梦想的化身,夢の体現者,"参加重赏比赛23回以上;赢得第三年的安田記念、宝塚記念、スプリンターズステークス、マイルチャンピオンシップ"
微光飞驹,Biko Pegasus,ビコーペガサス,2月8日,B72·W54·H75,144,田中あいみ,正义英雄,ジャスティスビコー,"短途跑者锦标赛二连霸,以1番人气于英里冠军赛(第三年)获胜,分别战胜菱亚马逊,菱曙各两次以上"
美丽周日,Marvelous Sunday,マーベラスサンデー,5月31日,B87·W52·H77,145,三宅麻理惠,Marvelous传教士,マーベラスの伝道師,"第三年的大阪杯与宝塚記念全胜,所有赛事干劲均为「絶好調」,粉丝数在240000人以上完成培养"
待兼福来,Matikane fukukitaru,マチカネフクキタル,5月22日,B84·W59·H83,158,新田日和,笑门来福,笑門来福,"维持干劲在绝好调,出战G2或G1赛事15次以上;在包含菊花賞的G2以上赛事中取得3连胜"
千明代表,Mr. C.B.,ミスターシービー,4月7日,B84·W55·H80,166,天海由梨奈,草场演奏家,ターフの演出家,"使用追马战术在人气第一的情况下赢得皐月賞、日本达比、菊花赏、天皇赏春,其中菊花赏需要领先3个马身获胜,且粉丝达到32万以上"
名将怒涛,Meisho Doto,メイショウドトウ,3月25日,B99·W61·H89,164,和多田美咲,不屈的挑战者,不屈の挑戦者,"包含天皇賞(春)、宝塚記念、有馬記念在内的重赏(G1、G2和G3)9连胜以上"
目白多伯,Mejiro Dober,メジロドーベル,5月6日,B83·W57·H81,157,久保田光,高冷的美人,クールビューティー,"以"差马"策略且人气第一的状态下赢得阪神ジュベナイルフィリーズ、桜花賞、オークス、秋華賞;赢得エリザベス女王杯两连冠;粉丝数24万人以上"
优秀素质,Nice Nature,ナイスネイチャ,4月16日,B79·W56·H80,157,前田佳织里,可爱的名配角,愛しき名脇役,"G1比赛中取得三次第三名;粉丝数达到32w以上"
圣王光环,King Halo,キングヘイロー,4月28日,B85·W60·H85,159,佐伯伊织,世代之王,世代のキング,"两只父辈继承马合计取得过G1胜利11次以上;战胜过特别周、青云天空、草上飞、神鹰各三次以上"
待兼诗歌剧,Matikane tannhauser,マチカネタンホイザ,5月7日,B80·W55·H80,155,远野光,大器晚成,大器晚成,"参加12次以上GⅠ比赛;赢得包含菊花賞、有馬記念(第三年)在内,长度2500m以上的重赏比赛4场以上"
生野狄杜斯,Ikuno Dictus,イクノディクタス,4月16日,B75·W53·H82,163,田泽茉纯,铁娘子,鉄の女,"加重赏比赛30次以上、安田纪念(第三年)、宝塚記念(第三年)获胜、基础能力[根性]达到1200以上"
目白善信,Mejiro Palmer,メジロパーマー,3月21日,B84·W57·H86,160,野口百合,变化不定的逃马娘,波乱の逃げウマ娘,"以""逃马""策略且人气第四以下赢得(一场)GⅠ;以""逃马""策略赢得第三年的天皇賞(春)、宝塚記念、有馬記念;""逃马""适应性S以上"
大拓太阳神,Daitaku Helios,ダイタクヘリオス,4月10日,B82·W53·H85,156,山根绮,兴致爆高派对咖马娘,爆アゲパリピウマ娘,"赢得英里赛马杯,英里冠军杯二连霸,并所有比赛里的干劲为绝好调,力量数值达到1200以上完成育成"
双涡轮,Twin Turbo,ツインターボ,4月13日,B72·W51·H74,146,花井美春,全力大逃马娘,全力大逃げ娘,"使用大逃战术在有马纪念赛(第三年)中从200米开始领跑到最后,且速度达到1200以上"
里见光钻,Satono Diamond,サトノダイヤモンド,1月30日,B87·W54·H84,158,立花日菜,实现愿望的宝石,願い叶える宝石,"任一父辈马娘育成评价S以上;赢得菊花賞、天皇賞(春)、ジャパンカップ(第三年),有馬記念两连胜"
北部玄驹,Kitasan Black,キタサンブラック,3月10日,B85·W56·H88,162,矢野妃菜喜,祭典少女,お祭り娘,"赢得包含菊花賞、天皇賞(春)、宝塚記念、天皇賞(秋)(第三年)、有馬記念(第三年)在内的GⅠ比赛7场以上;粉丝数48w人以上"
樱花千代王,Sakura Chiyono O,サクラチヨノオー,2月19日,B80·W55·H83,156,野口瑠璃子,盛开的樱花,花開くサクラ,"育成中父母马中任一速度能力值1200以上,且赢得过朝日杯フューチュリティステークス;赢得朝日杯フューチュリティステークス、皐月賞、東京優駿(日本ダービー)、ジャパンカップ"
天狼星象征,Sirius Symboli,シリウスシンボリ,3月26日,B89·W55·H86,167,菲鲁兹·蓝,凶赫的天狼,赫々たる天狼,"以3身距以上差距赢得日本德比,战胜2次以上鲁道夫象征, 粉丝数达到320000人以上"
目白阿尔丹,Mejiro Ardan,メジロアルダン,3月28日,B87·W56·H85,162,会泽纱弥,不碎的玻璃,割れないガラス,"東京優駿(日本ダービー)夺冠、天皇賞(秋)二连冠;所有参加的比赛都以干劲""绝好调""完成;所有训练没有一次失败且完成育成"
八重无敌,Yaeno Muteki,ヤエノムテキ,4月11日,B78·W54·H81,159,日原步美,刚毅果断,剛毅果断,"草地GⅠ级比赛未取得胜利的条件下,赢得皐月賞;赢得大阪杯(第三年),安田記念、宝塚記念和有馬記念;基础能力""力量""数值1200以上"
鹤丸刚志,Tsurumaru Tsuyoshi,ツルマルツヨシ,4月6日,B85·W58·H86,160,青山吉能,
目白光明,Mejiro Bright,メジロブライト,4月19日,B84·W59·H81,157,大西绮华,绰有余力的Stayer,のんびりステイヤー,"任一父辈马娘具有""目白""冠名赢得包括天皇賞(春)在内的3000米以上G1或G2比赛4场以上;粉丝数达到240,000以上"
谋勇兼备,Daring Tact,
樱花桂冠,Sakura Laurel,サクラローレル,5月8日,B78·W54·H80,162,真野美月,晚熟的大朵樱花,大輪の遅咲き桜,"天皇賞(春)中以2又1/2马身以上的差距取胜;有馬記念(第三年)获胜;基础能力耐力达到1200以上"
成田路,Narita Top Road,ナリタトップロード,4月4日,B86·W56·H83,166,中村栞奈,优美的挑战者,麗しのステイヤー,"于2500m以上的G1赛事胜利4次以上,长距离适应性于S以上,基础能力[耐力]达到1200以上"
也文摄辉,Yamanin Zephyr,ヤマニンゼファー,5月27日,B85·W52·H77,154,今泉梨央奈,风的化身,風の化身,"安田記念二连胜、赢得スプリンターズステークス、天皇賞(秋)(第二年)基础能力""速度""1200以上"
狂怒乐章,Furioso,フリオーソ,5月1日,B81·W53·H78,161,西連寺亜希,
创升,Transcend,トランセンド,3月9日,B86·W57·H84,164,塚田悠衣,未知的探求者,未知の探求者,"日本冠軍盃二连霸,于花豹锦标、京城锦标、二月锦标赛、英里冠军赛南部杯、JBC经典赛获胜,基础能力[智力]达到1200以上"
希望之城,Espoir City,
北方飞翔,North Flight,ノースフライト,4月12日,B82·W51·H80,156,指出毬亚,闪耀小芙,輝きのフーちゃん,"府中赛马娘S(第二年)、秋華賞、英里赛马杯、安田纪念(第三年)、一哩CS(第三年)获胜,基础能力[速度]达到1200以上"
吉兆,Symboli Kris S,シンボリクリスエス,1月21日,B91·W58·H88,170,春川芽生,漆黑的帝王,漆黒の帝王,"天皇賞(秋)获胜、有馬記念二连霸,其中有馬記念(第三年)以9马身以上的差距获胜;基础能力力量达到1200以上"
谷野美酒,Tanino Gimlet,タニノギムレット,5月4日,B77·W56·H79,166,松冈美里,唯美系破坏神,耽美系破壊神,"赢得比赛皐月賞、NHKマイルC、日本ダービー;基础能力力量达到1200以上"
第一红宝石,Daiichi Ruby,ダイイチルビー,4月15日,B77·W53·H76,141,礒部花凛,华丽的千金,華麗なる令嬢,"继承曾赢得樱花赏、伊丽莎白二世女皇杯的马娘的意志,赢得安田纪念(第三年)和短途马锦标(第三年)"
目白高峰,Mejiro Ramonu,メジロラモーヌ,4月9日,B87·W57·H90,165,东山奈央,魔性丽人,魔性の麗人,"樱花赏、奥克斯、有马纪念(经典级)、伊麗莎白女王盃(资深级)全胜, 粉丝数达到320000人以上"
真弓快车,Aston Machan,アストンマーチャン,3月5日,B86·W55·H80,152,井上穗乃花,不灭的小真,不滅のマーちゃん,"赢得スプリンターズステークス,分别战胜大和赤骥、伏特加2次以上,粉丝数达到320,000以上,达成所有育成目标完成育成"
里见皇冠,Satono Crown,サトノクラウン,3月10日,B82·W53·H81,163,铃代纱弓,魔法皇冠,マジッククラウン,"无败且人气第1获得弥生賞胜利,皐月賞、日本德比、大阪杯、宝塚記念、天皇賞(秋)、日本杯获胜, 基础能力[力量]达到1200以上"
高尚骏逸,Cheval Grand,シュヴァルグラン,3月14日,B85·W56·H80,163,夏吉优子,伟大的赛马娘,偉大なウマ娘,"日本杯(第三年)获胜;分别战胜极峰,强击,里见光钻;分别战胜北部玄驹,里见皇冠3次以上。"
极峰,Verxina,ヴィルシーナ,3月5日,B83·W53·H78,158,奥野香耶,
强击,Vivlos,ヴィブロス,4月9日,B81·W51·H86,156,伊藤彩沙,小恶魔系赛马娘,小悪魔系ウマ娘,"以人气第1获得重赏6胜以上,秋華賞,伊麗莎白女王盃(第三年),維多利亚一哩賽获胜, 粉丝数达到320000人以上"
烈焰快驹,Dantsu Flame,
凯斯奇迹,K.S.Miracle,ケイエスミラクル,3月16日,B79·W51·H77,156,佐藤日向,奇迹的主角,奇跡の立役者,"短途马锦标赛胜利,基础能力[速度]与[根性]均在1200以上, 粉丝数达到320000以上"
森林宝穴,Jungle Pocket,ジャングルポケット,5月7日,B77·W56·H80,158,藤本侑里,最强咆哮娘,最強咆哮娘,"日本德比获胜、日本盃二连霸,分别战胜爱丽速子、烈焰快驹、曼城茶座、成田路两次以上"
信念,Believe,
莫名其妙,No Reason,ノーリーズン,6月4日,B80·W56·H85,160,河野ひより,
爱如往昔,Still in Love,
小林历奇,Copano Rickey,コパノリッキー,3月24日,B83·W55·H87,165,稻垣好,胜利的幸运符,勝利を呼ぶ縁起者,"泥地G1比赛11胜以上;参加的全部比赛中干劲都为绝好调"
北港火山,Hokko Tarumae,ホッコータルマエ,5月26日,B86·W56·H85,162,菊池纱矢香,苫小牧之星,苫小牧の星,"泥地G1比赛10胜以上,粉丝数达到320,000人以上"
奇锐骏,Wonder Acute,ワンダーアキュート,3月14日,B75·W52·H78,159,须藤叶希,坚韧不拔的熏银,堅忍不抜のいぶし銀,"赢得東京大賞典(第二年)、かしわ記念;帝王賞、JBCクラシック;基础能力""根性""1200以上"
大森逊,Samson Big,
万籁争鸣,Sounds of Earth,サウンズオブアース,4月12日,B80·W52·H81,161,MAKIKO,热情的艺术家,情熱的な芸術家,"有马纪念二连霸,菊花赏、日本盃(第三年)获胜,粉丝数达到320000人以上"
罗伊斯兄弟,Royce and Royce,
葛城王牌,Katsuragi Ace,カツラギエース,4月24日,B81·W54·H77,165,藤原夏海,制霸世界的大王牌,世界制覇の大エース,"第三年的天皇賞(秋)、日本杯、有馬記念取得胜利,其中有馬記念以「大逃げ」跑法获胜;粉丝数达到320000人以上"
新宇宙,Neo Universe,ネオユニヴァース,5月21日,B79·W52·H77,160,白石晴香,宇宙诗篇,コズミックヴァース,"皐月賞、日本ダービー、宝塚記念(第二年)、菊花賞、ジャパンC(第二年)、大阪杯、天皇賞(春)获胜;基础能力""智力""达到1200以上"
菱钻奇宝,Hishi Miracle,ヒシミラクル,3月31日,B85·W62·H88,156,春日樱,悠闲舒适的治愈系马娘,のんびり癒しウマ娘,"菊花賞、天皇賞(春)、宝塚記念(第三年)获胜;休息7回以上;没有得到过状态「夜ふかし気味」的情况下完成育成"
跳舞城,Tap Dance City,タップダンスシチー,3月16日,B89·W55·H88,170,篠田南,追梦舞伎,夢追う踊り子,"宝塚記念(第三年)以1番人气获胜,日本杯(第三年)以9身距以上差距获胜, 粉丝数达到320000人以上"
大鸣大放,Duramente,ドゥラメンテ,3月22日,B89·W57·H85,166,秋奈,最强的体现者,最強の体現者,"从培育等级[S]以上的赛马娘继承意志(种马)、获得包括皋月赏、日本德比在内的G1比赛7胜以上、分别战胜里见皇冠、北部玄驹3次以上"
莱茵力量,Rhein Kraft,ラインクラフト,4月4日,B85·W55·H83,157,小岛菜菜惠,花开的开拓者,開花する開拓者,"樱花赏、NHK英里盃、秋華賞、伊丽莎白女王盃(第三年)获胜,基础能力[根性]达到1200以上"
西沙里奥,Cesario,シーザリオ,3月31日,B80·W53·H84,167,佐藤榛夏,
空中救世主,Air Messiah,エアメサイア,2月4日,B83·W56·H81,162,根本优奈,
勇敢之心,Daring Heart,
迷人景致,Buena Vista,
黄金巨匠,Orfevre,オルフェーヴル,5月14日,B82·W55·H80,165,日笠陽子,
贵妇人,Gentildonna,ジェンティルドンナ,2月20日,B95·W63·H87,167,芹泽优,
凯旋芭蕾,Win Variation,ウインバリアシオン,4月10日,B76·W55·H80,159,月城日花,
梦之旅,Dream Journey,ドリームジャーニー,2月24日,B66·W48·H69,144,吉岡茉祐,旅途终焉的见证者,旅の果てを見た者,"菊花赏、宝塚纪念(第三年)、有马纪念(第三年)获胜,基础能力"智力"达到1200以上"
金镇之光,Calstone Light O,カルストンライトオ,5月3日,B80·W55·H80,159,望月由美子,神速的直线领长,神速の直線番長,"使用「逃げ」战术获得短距离重赏9次以上、其中,朱鹮夏季短跑赛二连霸(目标4&7)、以4身差以上距离于短途马锦标获胜"
多旺达,Durandal,デュランダル,5月25日,B89·W56·H85,162,野木奏,
吹波糖,Bubble Gum Fellow,バブルガムフェロー,4月11日,B82·W58·H84,166,神谷早矢佳,
超常骏骥,,フェノーメノ,4月20日,B81·W59·H82,171,日比優理香,
放声欢呼,,グランアレグリア,1月24日,B84·W55·H85,160,夏目妃菜,
唯独爱你,,ラヴズオンリーユー,3月26日,B88·W58·H88,158,久保田未梦,